post_id,title,level_id,directory_id,user,description,excerpt,categories,locations,address_line_1,address_line_2,zip,latitude,longitude,map_icon_file,tags,images,videos,expiration_date,contact_email,claimable,dodatkowe,data,phone,website,email
23172,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Malinie,,,,,,,,,,,,,,,,,
23173,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Potyrała,,,,,,,,,,,,,,,,,
23174,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zawada,,,,,,,,,,,,,,,,,
23175,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Ciechlów,,,,,,,,,,,,,,,,,
23176,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zagórze,,,,,,,,,,,,,,,,,
23177,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zofiówka,,,,,,,,,,,,,,,,,
23178,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Pod Lasem,,,,,,,,,,,,,,,,,
23179,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Bęczków,,,,,,,,,,,,,,,,,
23180,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Górka,,,,,,,,,,,,,,,,,
23181,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Komorniki Drugie,,,,,,,,,,,,,,,,,
23182,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Komorniki Pierwsze,,,,,,,,,,,,,,,,,
23183,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Koszary,,,,,,,,,,,,,,,,,
23184,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Niwy,,,,,,,,,,,,,,,,,
23185,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Smuga,,,,,,,,,,,,,,,,,
23186,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Stara Wieś,,,,,,,,,,,,,,,,,
23187,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zaskale,,,,,,,,,,,,,,,,,
23188,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Cedzyna,,,,,,,,,,,,,,,,,
23189,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Cedzyna-Góra,,,,,,,,,,,,,,,,,
23190,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Piachy,,,,,,,,,,,,,,,,,
23191,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Górno,,,,,,,,,,,,,,,,,
23192,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Bór,,,,,,,,,,,,,,,,,
23193,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Rudki,,,,,,,,,,,,,,,,,
23194,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Rzechty,,,,,,,,,,,,,,,,,
23195,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Górno-Zawada,,,,,,,,,,,,,,,,,
23196,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Górno-Parcele,,,,,,,,,,,,,,,,,
23197,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Królówka,,,,,,,,,,,,,,,,,
23198,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Po Szosie,,,,,,,,,,,,,,,,,
23199,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Krajno Drugie,,,,,,,,,,,,,,,,,
23200,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Budki,,,,,,,,,,,,,,,,,
23201,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Krajno Południowe,,,,,,,,,,,,,,,,,
23202,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Łęki,,,,,,,,,,,,,,,,,
23203,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Racerzeka,,,,,,,,,,,,,,,,,
